球员,出场数,上场总时间（min）,投篮率,命中次数,出手次数,三分投球率,三分命中次数,三分出手次数,罚球率,罚球命中次数,罚球出手次数,篮板数,助攻次数,抢断次数,盖帽次数,失误次数,犯规次数,生涯总得分
Swede0Halbrook,8,172,33.30%,24,72,0.00%,0,0,70.00%,14,20,83,12,0,0,0,21,62
凯文-塞拉芬,14,138,45.00%,27,60,0.00%,0,0,61.50%,8,13,35,6,2,3,9,21,62
多纳塔斯-莫泰尤纳斯,11,121,49.00%,24,49,40.00%,4,10,50.00%,10,20,34,7,4,2,12,12,62
威利-麦卡特,17,246,36.10%,30,83,0.00%,0,0,28.60%,2,7,29,20,0,0,0,32,62
斯莱-威廉姆斯,7,138,49.20%,29,59,100.00%,1,1,100.00%,3,3,30,11,6,1,15,11,62
沙巴兹-内皮尔,9,110,48.80%,20,41,40.00%,8,20,77.80%,14,18,13,17,6,0,6,8,62
考奇-卡尔霍恩,18,203,51.90%,28,54,0.00%,0,0,60.00%,6,10,28,7,6,3,0,22,62
莱恩-霍林斯,36,292,47.20%,25,53,0.00%,0,0,54.50%,12,22,59,11,1,14,14,64,62
萨姆-马克,10,170,34.00%,18,53,34.30%,12,35,70.00%,14,20,18,8,5,0,7,12,62
蒙特-莫里斯,10,188,40.30%,29,72,0.00%,0,12,66.70%,4,6,16,34,3,1,6,14,62
克里斯-克劳福德,7,129,33.30%,16,48,28.60%,4,14,89.30%,25,28,21,5,1,2,8,21,61
基斯-阿斯金斯,27,333,36.80%,21,57,38.70%,12,31,77.80%,7,9,57,13,9,3,11,56,61
奎因汀-戴利,4,129,41.90%,26,62,14.30%,1,7,72.70%,8,11,13,11,4,0,5,9,61
泰勒-约翰逊,10,141,51.40%,19,37,56.30%,9,16,77.80%,14,18,15,12,3,0,4,22,61
罗尼-普莱斯,28,183,29.40%,20,68,20.80%,5,24,69.60%,16,23,17,31,11,3,8,31,61
肯塔维奥斯-卡德维尔-波普,4,161,44.00%,22,50,44.40%,12,27,71.40%,5,7,17,11,7,1,2,7,61
豪威尔-舒尔茨,16,0,26.60%,21,79,0.00%,0,0,70.40%,19,27,0,9,0,0,0,33,61
迈克尔-斯维特尼,11,180,44.70%,21,47,0.00%,0,0,70.40%,19,27,43,7,3,7,7,32,61
卢克-肯纳德,4,132,48.90%,23,47,60.00%,9,15,83.30%,5,6,16,7,3,1,3,6,60
艾尔-伍德,5,157,46.40%,26,56,0.00%,0,1,66.70%,8,12,34,10,1,1,7,16,60
迪诺-拉迪亚,4,153,40.00%,20,50,0.00%,0,0,71.40%,20,28,28,9,4,5,9,19,60
鲁斯-舍尼,22,205,36.80%,21,57,23.50%,4,17,77.80%,14,18,38,7,4,4,4,31,60
Bumper0Tormohlen,26,169,40.00%,24,60,0.00%,0,0,61.10%,11,18,65,21,0,0,0,38,59
乔恩-桑德沃德,10,157,43.90%,25,57,22.20%,4,18,83.30%,5,6,7,25,4,0,9,6,59
德里克-史密斯,14,149,53.50%,23,43,0.00%,0,2,72.20%,13,18,16,9,5,1,15,32,59
斯坦利-罗伯茨,9,177,45.60%,26,57,0.00%,0,1,31.80%,7,22,46,1,3,7,11,29,59
汤姆-萨克尔,31,217,30.50%,25,82,0.00%,0,0,47.40%,9,19,51,19,0,0,0,46,59
蒂姆-麦考密克,15,214,44.90%,22,49,0.00%,0,1,83.30%,15,18,57,6,4,4,7,35,59
詹姆斯-贝莉,14,164,46.80%,22,47,0.00%,0,0,68.20%,15,22,31,6,11,10,12,27,59
马库斯-索顿,10,124,38.90%,21,54,23.80%,5,21,66.70%,12,18,19,1,2,1,2,4,59
鲍伯-波特曼,11,149,39.30%,24,61,0.00%,0,0,78.60%,11,14,30,3,0,0,0,14,59
丹特-康宁汉姆,21,176,60.00%,24,40,66.70%,2,3,88.90%,8,9,48,2,9,6,4,20,58
安德鲁-特纳,8,189,43.80%,21,48,33.30%,3,9,81.30%,13,16,13,35,11,0,8,12,58
斯温-纳特,17,146,50.00%,19,38,0.00%,0,0,76.90%,20,26,40,1,1,2,8,27,58
格伦-贡德赖齐克,15,187,43.10%,25,58,0.00%,0,0,61.50%,8,13,45,19,7,2,7,27,58
汉克-芬克尔,33,175,45.80%,27,59,0.00%,0,0,66.70%,4,6,53,13,0,0,0,29,58
理查德-安德森,15,140,41.70%,20,48,38.10%,8,21,83.30%,10,12,26,10,2,3,4,20,58
保罗-格里芬,10,252,55.30%,21,38,0.00%,0,0,57.70%,15,26,55,35,6,6,16,37,57
尼古拉-武切维奇,6,148,35.60%,21,59,23.10%,3,13,75.00%,12,16,41,15,2,5,13,12,57
杰隆-科林斯,36,327,38.00%,19,50,0.00%,0,0,65.50%,19,29,60,7,7,2,8,65,57
查理-布莱克,8,0,29.50%,18,61,0.00%,0,0,72.40%,21,29,0,17,0,0,0,38,57
格雷格-凯特,61,378,39.60%,21,53,0.00%,0,0,62.50%,15,24,97,17,6,13,17,94,57
乔-梅里维尔瑟,10,199,49.00%,24,49,0.00%,0,0,57.10%,8,14,31,5,5,7,9,31,56
切特-卡莱尔,10,0,22.70%,20,88,0.00%,0,0,57.10%,16,28,0,2,0,0,0,33,56
吉姆-塔克,15,131,34.40%,21,61,0.00%,0,0,82.40%,14,17,40,3,0,0,0,28,56
杰夫-特纳,24,218,41.70%,20,48,50.00%,11,22,100.00%,5,5,32,16,4,3,10,57,56
特里·狄辛格,6,154,37.50%,21,56,0.00%,0,0,73.70%,14,19,29,9,0,0,0,19,56
罗恩-莱利,8,152,59.50%,25,42,0.00%,0,0,37.50%,6,16,36,15,9,2,0,18,56
加里-格兰特,17,221,36.40%,24,66,33.30%,3,9,66.70%,4,6,14,49,8,3,18,25,55
史蒂夫-斯蒂帕诺维奇,4,149,55.30%,21,38,0.00%,0,1,68.40%,13,19,30,3,3,2,4,14,55
埃里克-默多克,8,136,37.80%,14,37,20.00%,2,10,83.30%,25,30,23,16,8,1,7,12,55
托尼-道格拉斯,15,150,37.30%,19,51,41.70%,10,24,87.50%,7,8,17,15,2,0,5,15,55
朱利安-怀特,15,163,45.10%,23,51,22.20%,2,9,70.00%,7,10,24,7,10,2,6,14,55
杰里-伊维斯,11,132,47.80%,22,46,33.30%,1,3,76.90%,10,13,10,13,5,2,7,10,55
艾尔-艾伯哈德,11,224,37.50%,18,48,0.00%,0,0,70.40%,19,27,35,9,9,4,0,20,55
谢里夫-阿布杜-拉希姆,6,129,53.50%,23,43,0.00%,0,3,60.00%,9,15,29,7,2,0,13,27,55
贾斯汀-安德森,12,127,44.40%,20,45,30.00%,6,20,64.30%,9,14,29,7,5,3,7,20,55
贾莱特-阿伦,5,110,59.40%,19,32,0.00%,0,0,85.00%,17,20,34,11,3,3,8,13,55
达科-米利西奇,21,150,48.90%,22,45,0.00%,0,0,50.00%,11,22,25,6,2,5,6,13,55
里昂-道格拉斯,18,375,42.20%,19,45,0.00%,0,0,40.50%,17,42,75,14,5,8,0,58,55
John0Oldham,7,0,41.90%,18,43,0.00%,0,0,66.70%,18,27,0,9,0,0,0,28,54
内特-鲍曼,29,196,33.30%,22,66,0.00%,0,0,76.90%,10,13,79,9,0,0,0,51,54
史蒂夫-埃尔福特,13,106,41.70%,20,48,35.30%,6,17,88.90%,8,9,9,15,3,0,5,11,54
布德-格兰特,17,0,39.30%,22,56,0.00%,0,0,58.80%,10,17,0,7,0,0,0,37,54
特拉维斯-奥特洛,6,170,31.80%,21,66,25.00%,4,16,66.70%,8,12,18,3,5,4,5,10,54
马库斯-班克斯,13,171,42.60%,20,47,41.70%,5,12,75.00%,9,12,18,15,6,1,9,25,54
Walt0Budko,6,0,42.50%,17,40,0.00%,0,0,73.10%,19,26,0,9,0,0,0,27,53
兰迪-利文斯顿,17,182,31.70%,20,63,36.40%,4,11,100.00%,9,9,20,20,8,1,8,20,53
朗戴-霍利斯-杰弗森,4,62,48.50%,16,33,100.00%,1,1,80.00%,20,25,12,6,1,5,3,7,53
杰克-佩尔金顿,3,0,39.40%,13,33,0.00%,0,0,77.10%,27,35,0,3,0,0,0,13,53
杰里-雷诺兹,18,97,39.60%,19,48,16.70%,1,6,60.90%,14,23,16,8,9,9,9,12,53
罗伊德-沃顿,18,201,41.20%,21,51,0.00%,0,0,64.70%,11,17,12,57,12,4,24,14,53
达米恩-威尔金斯,15,175,46.90%,23,49,23.10%,3,13,44.40%,4,9,26,4,12,3,10,19,53
乔-哈里斯,11,164,36.70%,18,49,20.80%,5,24,91.70%,11,12,22,4,3,0,10,13,52
伯-艾利斯,15,194,41.30%,19,46,0.00%,0,0,82.40%,14,17,47,9,8,9,14,27,52
布伦特-普莱斯,9,173,43.60%,17,39,37.00%,10,27,88.90%,8,9,17,20,8,1,12,17,52
斯特罗迈尔-斯威夫特,7,122,45.70%,21,46,0.00%,0,0,66.70%,10,15,33,4,4,6,5,9,52
特尤斯-艾德尼,6,131,40.80%,20,49,22.20%,2,9,76.90%,10,13,12,14,9,0,9,12,52
达柳斯-莫里斯,9,118,48.70%,19,39,40.00%,4,10,76.90%,10,13,5,15,2,0,7,7,52
丹尼-沃尼斯,15,235,37.70%,23,61,0.00%,0,1,55.60%,5,9,62,12,4,7,8,34,51
乔汉-佩特洛,22,173,46.80%,22,47,0.00%,0,0,58.30%,7,12,39,6,2,8,7,35,51
埃里克-皮亚考斯基,17,141,36.80%,14,38,39.10%,9,23,87.50%,14,16,17,4,5,2,1,11,51
杰里米-兰姆,14,112,43.10%,22,51,20.00%,3,15,100.00%,4,4,20,8,7,1,3,8,51
查克-孟瑟,8,150,34.50%,19,55,0.00%,0,0,81.30%,13,16,18,14,0,0,0,11,51
罗恩-比哈根,8,122,48.00%,24,50,0.00%,0,0,100.00%,3,3,31,9,1,2,0,32,51
艾德-斯坦扎克,8,0,29.20%,14,48,0.00%,0,0,76.70%,23,30,0,10,0,0,0,26,51
Dwight0Davis,11,142,43.20%,16,37,0.00%,0,0,81.80%,18,22,28,10,3,4,0,28,50
史蒂夫-伯特,8,104,42.10%,16,38,0.00%,0,2,85.70%,18,21,12,14,5,0,8,18,50
哈索恩-温格,11,104,44.70%,21,47,0.00%,0,0,66.70%,8,12,32,8,0,0,0,10,50
奈尔-沃克,8,102,41.50%,22,53,0.00%,0,0,75.00%,6,8,40,4,0,0,0,17,50
弗兰克-卡明斯基,7,191,30.40%,14,46,29.40%,5,17,81.00%,17,21,30,8,6,5,2,15,50
汤米-贝尔纳斯,8,0,30.10%,22,73,0.00%,0,0,26.10%,6,23,0,2,0,0,0,9,50
温斯顿-班尼特,5,135,48.90%,23,47,0.00%,0,0,66.70%,4,6,21,5,3,1,4,11,50
约什-柴尔德里斯,7,205,52.40%,22,42,0.00%,0,2,50.00%,6,12,40,11,1,5,2,7,50
罗伊德-丹尼尔斯,12,140,38.00%,19,50,33.30%,5,15,87.50%,7,8,24,5,3,1,7,12,50
伊万-约翰逊,11,171,40.50%,17,42,0.00%,0,1,65.20%,15,23,37,3,7,3,9,30,49
安东尼-莫罗,17,107,48.50%,16,33,35.70%,5,14,100.00%,12,12,5,3,1,0,4,7,49
尤素夫-努尔基奇,5,110,47.60%,20,42,0.00%,0,1,81.80%,9,11,43,8,6,6,6,15,49
布莱恩-斯金纳,21,200,46.20%,18,39,0.00%,0,1,54.20%,13,24,42,2,3,11,14,23,49
希尔顿-阿姆斯特朗,27,176,48.70%,19,39,0.00%,0,1,39.30%,11,28,42,4,7,9,16,40,49
斯科特-梅,7,147,30.40%,14,46,0.00%,0,0,72.40%,21,29,25,13,10,2,0,16,49
约什-鲍威尔,46,192,40.40%,19,47,50.00%,1,2,83.30%,10,12,35,7,0,2,8,30,49
罗德-福斯特,19,184,26.60%,17,64,0.00%,0,9,88.20%,15,17,16,25,10,1,18,25,49
莫里斯-泰勒,5,116,47.40%,18,38,0.00%,0,0,76.50%,13,17,16,5,0,1,7,20,49
达夫-罗比斯,14,152,43.80%,21,48,0.00%,0,0,63.60%,7,11,46,6,2,2,8,18,49
Eddie0Lee0Wilkins,15,93,51.40%,18,35,0.00%,0,0,52.20%,12,23,24,0,2,0,8,14,48
安德鲁-德克勒克,13,167,58.80%,20,34,0.00%,0,0,53.30%,8,15,39,3,4,7,12,45,48
泰伦-卢,21,170,38.80%,19,49,37.50%,6,16,80.00%,4,5,13,17,14,1,12,15,48
特雷沃-布克,16,208,48.70%,19,39,0.00%,0,3,76.90%,10,13,57,8,3,10,4,37,48
罗德-德林,10,105,46.50%,20,43,0.00%,0,0,88.90%,8,9,17,8,3,0,0,10,48
阿莱克斯-阿布林斯,11,189,37.20%,16,43,36.70%,11,30,83.30%,5,6,25,6,5,2,1,19,48
J.R.-布雷默,10,146,28.60%,16,56,25.00%,8,32,87.50%,7,8,15,12,3,0,8,12,47
Sid0Tanenbaum,6,0,27.40%,17,62,0.00%,0,0,81.30%,13,16,0,14,0,0,0,13,47
安德鲁-古德洛克,9,101,46.70%,21,45,25.00%,3,12,100.00%,2,2,8,3,5,0,7,8,47
迪克-康宁汉姆,27,151,50.00%,20,40,0.00%,0,0,63.60%,7,11,39,5,0,0,0,22,47
Bud0Olsen,15,84,46.70%,21,45,0.00%,0,0,33.30%,4,12,32,6,0,0,0,16,46
兰德里-沙梅特,6,175,34.20%,13,38,32.30%,10,31,100.00%,10,10,12,10,6,0,7,15,46
劳尔-内图,20,151,38.10%,16,42,35.70%,5,14,100.00%,9,9,20,15,3,1,7,17,46
厄尔-克拉克,15,198,35.80%,19,53,28.60%,2,7,66.70%,6,9,53,4,6,7,12,12,46
埃尼斯-威特利,31,260,28.10%,18,64,0.00%,0,1,83.30%,10,12,31,32,16,0,21,33,46
拉里-麦考克斯,8,122,48.60%,18,37,0.00%,0,1,50.00%,10,20,42,3,0,7,5,18,46
查理-贝尔,8,116,37.80%,17,45,41.70%,5,12,100.00%,7,7,3,7,3,2,4,17,46
沙勒尔-汉密尔顿,6,108,34.90%,22,63,0.00%,0,0,66.70%,2,3,20,18,0,0,0,13,46
罗兰德-加勒特,19,155,35.00%,21,60,0.00%,0,0,50.00%,4,8,30,3,0,0,0,28,46
里克-罗伯森,18,154,38.30%,18,47,0.00%,0,0,58.80%,10,17,42,4,0,0,0,27,46
Kenny0Sears,9,88,43.20%,16,37,0.00%,0,0,86.70%,13,15,29,9,0,0,0,10,45
乔丹-贝尔,22,191,50.00%,19,38,0.00%,0,1,50.00%,7,14,50,16,7,10,6,19,45
劳伦斯-方德伯克,26,145,42.90%,18,42,0.00%,0,0,69.20%,9,13,34,2,6,2,5,22,45
威利-维斯,6,106,34.10%,14,41,0.00%,0,0,68.00%,17,25,28,3,0,1,0,16,45
安东尼-邦纳,23,172,47.20%,17,36,0.00%,0,1,52.40%,11,21,38,5,6,1,16,31,45
德维恩-戴德蒙,12,96,60.90%,14,23,0.00%,0,0,53.10%,17,32,47,3,2,3,8,16,45
杰夫-艾尔斯,38,177,39.10%,18,46,0.00%,0,1,69.20%,9,13,44,8,2,5,5,23,45
盖斯-贝莉,8,116,50.00%,18,36,0.00%,0,0,90.00%,9,10,19,16,6,2,0,12,45
谢米-奥杰莱,21,259,33.30%,14,42,33.30%,9,27,88.90%,8,9,29,3,3,0,3,26,45
A.J.-普莱斯,9,86,37.80%,14,37,43.80%,7,16,90.00%,9,10,9,7,3,0,7,5,44
保罗-齐普泽,6,136,45.50%,15,33,37.50%,6,16,100.00%,8,8,21,3,1,1,7,12,44
埃梅卡-奥卡福,7,192,62.50%,20,32,0.00%,0,0,36.40%,4,11,33,0,6,6,12,29,44
威布尔-霍兰德,3,84,50.00%,17,34,0.00%,0,0,100.00%,10,10,9,3,1,0,0,8,44
托德-里赫迪,3,70,51.70%,15,29,0.00%,0,1,73.70%,14,19,18,9,1,0,8,6,44
罗德尼-布福德,24,124,38.60%,17,44,45.50%,5,11,83.30%,5,6,18,7,6,1,4,20,44
艾德-格雷,8,71,36.60%,15,41,36.40%,4,11,90.90%,10,11,9,4,6,1,2,11,44
艾德-皮特森,11,0,41.90%,18,43,0.00%,0,0,57.10%,8,14,0,1,0,0,0,33,44
蒂姆-坎普顿,6,121,50.00%,17,34,0.00%,0,0,100.00%,10,10,21,12,3,0,6,17,44
鲁迪-麦克林,5,108,46.90%,15,32,0.00%,0,1,87.50%,14,16,18,3,2,2,7,18,44
鲍比-威尔森,10,93,41.50%,17,41,0.00%,0,0,83.30%,10,12,11,4,4,0,0,10,44
鲍比-西蒙斯,9,190,37.30%,19,51,37.50%,6,16,0.00%,0,0,19,10,9,1,7,18,44
兰德里-菲尔兹,12,209,37.50%,18,48,11.10%,1,9,46.20%,6,13,27,13,9,4,14,7,43
唐-科林斯,8,151,43.20%,19,44,0.00%,0,0,71.40%,5,7,22,6,4,1,11,25,43
布鲁斯-霍尔,7,0,35.00%,14,40,0.00%,0,0,88.20%,15,17,0,17,0,0,0,11,43
拉里-桑德斯,4,113,57.60%,19,33,0.00%,0,0,45.50%,5,11,33,5,3,5,12,18,43
斯特林-布朗,9,151,44.10%,15,34,38.90%,7,18,66.70%,6,9,30,16,6,3,8,15,43
昆西-刘易斯,12,162,36.00%,18,50,27.30%,3,11,44.40%,4,9,18,4,5,8,6,34,43
约翰-卢卡斯三世,7,100,43.90%,18,41,35.70%,5,14,100.00%,2,2,7,9,1,0,8,7,43
达柳斯-米勒,9,162,41.20%,14,34,37.50%,9,24,100.00%,6,6,20,11,5,0,6,10,43
马克斯尔-莫里斯,3,0,35.00%,14,40,0.00%,0,0,57.70%,15,26,0,14,0,0,0,8,43
乔-斯特拉瓦德,6,177,33.30%,14,42,0.00%,0,0,63.60%,14,22,65,9,0,0,0,27,42
克里夫·巴克,9,0,32.00%,16,50,0.00%,0,0,55.60%,10,18,0,23,0,0,0,20,42
凯文-莱斯塔尼,9,118,52.80%,19,36,0.00%,0,0,44.40%,4,9,23,4,1,2,0,10,42
卡尔-克里斯滕森,11,180,30.80%,12,39,0.00%,0,0,56.30%,18,32,45,16,0,0,0,22,42
卡尔文-布斯,11,155,42.50%,17,40,0.00%,0,0,88.90%,8,9,32,3,8,6,5,32,42
唐-普特曼,12,0,21.50%,17,79,0.00%,0,0,42.10%,8,19,0,10,0,0,0,28,42
布兰登-怀特,12,128,67.90%,19,28,0.00%,0,0,50.00%,4,8,19,8,3,9,6,12,42
布兰登-拉什,22,174,41.00%,16,39,44.40%,8,18,50.00%,2,4,33,6,3,3,3,16,42
布莱恩-卡迪纳尔,18,145,45.20%,14,31,45.50%,5,11,69.20%,9,13,22,5,5,0,4,21,42
托德-达耶,9,100,45.70%,16,35,31.30%,5,16,50.00%,5,10,10,4,4,1,4,24,42
沃尔特-韦斯利,8,83,43.90%,18,41,0.00%,0,0,50.00%,6,12,28,2,0,0,0,16,42
塞斯-库里,8,143,34.30%,12,35,42.90%,9,21,75.00%,6,8,9,4,5,3,2,8,39
安德鲁-哈里森,6,119,44.80%,13,29,38.50%,5,13,88.90%,8,9,11,13,3,1,3,14,39
布莱文-奈特,14,250,25.50%,12,47,0.00%,0,0,71.40%,15,21,28,43,25,2,18,32,39
杰克-斯蒂芬斯,7,116,29.30%,12,41,0.00%,0,0,60.00%,15,25,23,9,0,0,0,9,39
杰夫-格雷尔,10,95,48.50%,16,33,0.00%,0,0,77.80%,7,9,14,8,2,1,6,10,39
查理-维兰纽瓦,9,62,37.80%,14,37,37.50%,9,24,100.00%,2,2,15,4,1,1,1,12,39
汤姆-考兹尔克,25,126,60.00%,15,25,0.00%,0,0,81.80%,9,11,17,2,0,1,0,18,39
耶里-维尔什科,8,119,48.10%,13,27,25.00%,1,4,92.30%,12,13,15,11,3,0,8,8,39
Maurice0Martin,6,63,38.20%,13,34,0.00%,0,2,66.70%,12,18,10,10,0,2,6,13,38
乔治-蒙罗,6,0,44.40%,16,36,0.00%,0,0,66.70%,6,9,0,1,0,0,0,10,38
克里斯-道格拉斯-罗伯茨,4,70,68.80%,11,16,50.00%,4,8,85.70%,12,14,8,2,0,0,4,11,38
厄尔-沃特森,12,150,40.00%,16,40,7.70%,1,13,100.00%,5,5,20,23,8,1,9,20,38
史蒂夫-诺瓦克,22,185,48.30%,14,29,45.50%,10,22,0.00%,0,0,27,1,1,2,3,14,38
唐-亨里克森,5,164,48.10%,13,27,0.00%,0,0,63.20%,12,19,40,11,0,0,0,16,38
埃迪-乔丹,7,93,37.50%,15,40,0.00%,0,0,88.90%,8,9,15,23,10,3,7,6,38
布鲁克斯-汤普森,8,59,52.00%,13,25,40.00%,4,10,72.70%,8,11,7,10,0,2,11,8,38
比尔-加内特,8,74,50.00%,15,30,100.00%,1,1,87.50%,7,8,22,4,0,2,1,10,38
罗尼-莱斯特,14,96,39.40%,13,33,0.00%,0,1,75.00%,12,16,14,13,2,0,9,11,38
莱昂内尔-西蒙斯,4,77,45.50%,15,33,33.30%,3,9,71.40%,5,7,12,8,6,2,6,12,38
迈克-布鲁姆,4,0,26.20%,11,42,0.00%,0,0,76.20%,16,21,0,2,0,0,0,11,38
阿拉拉-阿布德纳比,17,106,45.00%,18,40,0.00%,0,0,50.00%,2,4,20,3,0,1,11,11,38
Freddie0Lewis_,3,0,42.90%,15,35,0.00%,0,0,70.00%,7,10,0,3,0,0,0,13,37
Jim0Paxson_,7,84,25.50%,12,47,0.00%,0,0,59.10%,13,22,22,8,0,0,0,11,37
德文-伊班克斯,9,126,41.00%,16,39,0.00%,0,3,62.50%,5,8,20,6,3,7,2,13,37
德里克-齐沃斯,7,68,40.70%,11,27,0.00%,0,0,78.90%,15,19,9,4,2,1,6,9,37
拉里-斯塔夫曼,7,70,47.80%,11,23,0.00%,0,0,78.90%,15,19,26,5,0,0,0,16,37
格伦-罗宾逊三世,12,82,53.80%,14,26,30.00%,3,10,85.70%,6,7,11,3,2,1,1,7,37
马克-阿克莱斯,19,160,51.90%,14,27,0.00%,0,2,50.00%,9,18,37,2,1,1,6,33,37
丹尼-福特森,11,105,57.10%,12,21,0.00%,0,0,80.00%,12,15,26,0,3,1,13,42,36
保罗-诺尔,20,0,29.50%,13,44,0.00%,0,0,62.50%,10,16,0,4,0,0,0,35,36
卢瑟-海德,12,185,24.00%,12,50,20.70%,6,29,60.00%,6,10,21,12,5,3,11,19,36
德马尔-约翰逊,10,129,36.80%,14,38,20.80%,5,24,100.00%,3,3,20,7,2,4,1,12,36
杰克-沃斯库尔,6,98,70.60%,12,17,0.00%,0,0,92.30%,12,13,22,2,4,4,6,21,36
杰克-波尔马斯特,3,0,51.60%,16,31,0.00%,0,0,100.00%,4,4,0,8,0,0,0,7,36
约什-布恩,12,118,50.00%,12,24,0.00%,0,0,50.00%,12,24,19,3,1,3,3,16,36
罗宾-琼斯,19,105,46.90%,15,32,0.00%,0,0,66.70%,6,9,23,9,4,4,0,24,36
莱恩-埃尔莫尔,11,146,42.90%,15,35,0.00%,0,0,75.00%,6,8,36,4,5,3,8,16,36
贾森-哈特,23,139,45.90%,17,37,0.00%,0,1,100.00%,2,2,8,9,10,1,6,18,36
道格-迈克德莫特,11,104,38.70%,12,31,36.40%,8,22,66.70%,4,6,12,6,1,2,2,4,36
乔-哈顿,19,0,37.50%,12,32,0.00%,0,0,61.10%,11,18,16,13,0,0,0,22,35
以赛亚-坎南,3,95,50.00%,13,26,35.70%,5,14,66.70%,4,6,4,4,3,0,5,6,35
约翰-里奇特,8,95,39.50%,15,38,0.00%,0,0,35.70%,5,14,29,2,0,0,0,18,35
Buddy0O'Grady,13,0,24.50%,13,53,0.00%,0,0,100.00%,8,8,0,0,0,0,0,10,34
丹纽尔-豪斯,7,140,29.70%,11,37,25.80%,8,31,50.00%,4,8,22,1,3,2,4,11,34
乔-巴克海尔特,4,60,42.10%,16,38,0.00%,0,0,66.70%,2,3,22,4,0,0,0,14,34
安东尼-托利弗,13,115,55.00%,11,20,53.30%,8,15,66.70%,4,6,17,3,1,2,1,9,34
达夫-纽马克,6,42,45.50%,15,33,0.00%,0,0,100.00%,4,4,12,2,0,0,0,8,34
迈克尔-吉尔克里斯特,4,91,51.90%,14,27,0.00%,0,1,60.00%,6,10,26,6,0,2,8,13,34
Melvin0Turpin,11,76,53.60%,15,28,0.00%,0,0,75.00%,3,4,14,2,5,5,7,8,33
乔-麦克纳米,13,0,29.30%,12,41,0.00%,0,0,75.00%,9,12,35,9,0,0,0,26,33
乔治-诺斯特兰德,3,0,35.00%,14,40,0.00%,0,0,71.40%,5,7,0,3,0,0,0,10,33
乔纳森-艾萨克,5,136,27.50%,11,40,20.00%,4,20,87.50%,7,8,31,2,2,5,5,9,33
伯-拉马尔,10,109,29.30%,12,41,0.00%,0,0,90.00%,9,10,9,14,3,0,0,12,33
凯莱洛-费申科,10,181,43.30%,13,30,0.00%,0,0,33.30%,7,21,39,12,0,5,14,30,33
埃迪-米勒,2,93,38.20%,13,34,0.00%,0,0,43.80%,7,16,36,5,0,0,0,9,33
多利斯-穆雷,17,93,48.10%,13,27,0.00%,0,0,63.60%,7,11,33,1,0,0,0,6,33
尼克-卡拉塞斯,10,128,33.30%,12,36,46.20%,6,13,37.50%,3,8,16,16,9,1,10,15,33
尼克-琼斯,7,84,28.60%,8,28,0.00%,0,0,85.00%,17,20,5,7,0,0,0,9,33
格雷格-斯蒂恩斯玛,20,146,70.00%,14,20,0.00%,0,0,62.50%,5,8,41,5,4,11,4,26,33
科尔-阿尔德里奇,11,98,58.30%,14,24,0.00%,0,0,50.00%,5,10,43,3,6,3,2,14,33
詹姆斯-迈克尔-麦卡杜,26,102,54.20%,13,24,40.00%,2,5,50.00%,5,10,25,2,5,5,3,11,33
道格-韦斯特,3,87,54.50%,12,22,0.00%,0,2,100.00%,9,9,4,6,2,1,1,11,33
里基-布朗,7,98,45.80%,11,24,0.00%,0,0,78.60%,11,14,22,2,0,1,5,22,33
Chips0Sobek,3,0,50.00%,10,20,0.00%,0,0,75.00%,12,16,0,3,0,0,0,15,32
乔-罗伯茨,9,84,34.40%,11,32,0.00%,0,0,71.40%,10,14,32,0,0,0,0,12,32
内特-霍恩,18,95,30.30%,10,33,0.00%,0,0,75.00%,12,16,18,6,6,2,0,20,32
史蒂夫-汉密尔顿,10,87,27.90%,12,43,0.00%,0,0,80.00%,8,10,35,5,0,0,0,14,32
哈罗德-迈纳,4,57,46.20%,12,26,0.00%,0,0,72.70%,8,11,8,2,1,0,2,4,32
唐图尼奥-温菲尔德,8,78,43.50%,10,23,60.00%,6,10,60.00%,6,10,16,5,1,0,5,13,32
托尼-布朗,17,133,39.30%,11,28,37.50%,3,8,63.60%,7,11,12,9,4,0,2,17,32
托马斯-罗宾逊,11,121,41.90%,13,31,0.00%,0,0,85.70%,6,7,28,6,5,5,5,23,32
斯坦利-约翰逊,4,82,52.20%,12,23,60.00%,6,10,100.00%,2,2,16,0,1,0,3,10,32
汤姆-托尔波特,9,116,42.40%,14,33,33.30%,1,3,27.30%,3,11,18,8,3,4,4,29,32
罗耶尔-埃维,16,80,36.70%,11,30,37.50%,6,16,66.70%,4,6,8,4,5,1,2,9,32
肖恩-威廉姆斯,4,101,41.70%,10,24,42.90%,6,14,75.00%,6,8,14,5,4,4,4,8,32
莱罗伊-切莱特,15,0,22.40%,11,49,0.00%,0,0,47.60%,10,21,0,13,0,0,0,27,32
鲍伯-卡朋特,4,0,36.70%,11,30,0.00%,0,0,71.40%,10,14,0,2,0,0,0,6,32
Mike0Todorovich,3,0,19.40%,6,31,0.00%,0,0,79.20%,19,24,0,8,0,0,0,14,31
兰斯顿-加洛韦,4,109,32.40%,11,34,36.00%,9,25,0.00%,0,0,15,4,2,4,2,10,31
吉姆-尼尔,11,100,37.10%,13,35,0.00%,0,0,38.50%,5,13,27,2,0,0,0,14,31
安德鲁-勒瓦尼,9,0,35.10%,13,37,0.00%,0,0,100.00%,5,5,0,13,0,0,0,11,31
