球员,出场数,上场总时间（min）,投篮率,命中次数,出手次数,三分投球率,三分命中次数,三分出手次数,罚球率,罚球命中次数,罚球出手次数,篮板数,助攻次数,抢断次数,盖帽次数,失误次数,犯规次数,生涯总得分
纳兹尔-穆罕穆德,86,1141,51.50%,150,291,66.70%,2,3,63.90%,69,108,307,17,30,52,52,176,371
吉姆-华盛顿,42,1106,44.40%,151,340,0.00%,0,0,59.80%,67,112,300,58,0,0,0,111,369
卡尔-兰德里,37,807,50.40%,133,264,0.00%,0,2,74.50%,102,137,171,26,22,13,47,89,368
肯尼-凯尔,35,893,51.20%,153,299,0.00%,0,0,72.90%,62,85,230,37,18,12,65,126,368
扎扎-帕楚里亚,75,1221,44.30%,121,273,0.00%,0,2,73.50%,125,170,333,59,35,20,66,197,367
维尔-佩尔多,108,1256,52.70%,139,264,25.00%,1,4,63.30%,88,139,377,34,15,42,73,206,367
莱韦斯-洛依德,25,763,48.40%,154,318,40.00%,2,5,79.20%,57,72,95,111,23,14,57,59,367
达夫-甘比,43,840,35.60%,118,331,0.00%,0,0,83.40%,131,157,188,36,0,0,0,143,367
特伦特-塔克,66,1059,44.90%,142,316,41.70%,50,120,69.80%,30,43,94,100,44,5,38,107,364
凯文-波特,33,971,46.30%,150,324,0.00%,0,0,64.90%,63,97,68,191,0,0,0,128,363
克莱德-李,51,1398,39.70%,146,368,0.00%,0,0,58.60%,68,116,519,61,0,0,0,157,360
特里-罗林斯,93,1804,50.50%,146,289,0.00%,0,0,62.40%,68,109,432,29,33,134,79,269,360
山顿-安德森,74,1275,44.60%,133,298,35.40%,17,48,69.70%,76,109,192,68,31,7,77,129,359
弗莱德-黑特泽尔,35,742,42.70%,138,323,0.00%,0,0,81.40%,83,102,184,44,0,0,0,95,359
厄尔-洛依德,44,1115,33.70%,131,389,0.00%,0,0,74.40%,96,129,254,82,0,0,0,171,358
M·L·凯尔,67,1005,38.20%,142,372,0.00%,0,0,71.40%,65,91,129,64,38,10,0,111,354
达雷尔-伊姆霍夫,54,1251,47.80%,139,291,0.00%,0,0,58.00%,76,131,442,101,0,0,0,179,354
雷杰-金,23,788,48.80%,137,281,0.00%,0,1,72.10%,80,111,191,35,21,13,44,73,354
